"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Produto das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Banana (cacho)";"Batata-doce";"Maçã";"Mandioca";"Melão"
"2402501";"Carnaubais (RN)";"2020";"Valor da produção (Mil Reais)";"7200";"-";"-";"-";"80"
"2402501";"Carnaubais (RN)";"2020";"Valor da produção - percentual do total geral";"53,80";"-";"-";"-";"0,60"
"2402600";"Ceará-Mirim (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"600";"100";"-";"600";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"7,09";"1,18";"-";"7,09";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Área colhida (Hectares)";"600";"100";"-";"600";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Área colhida - percentual do total geral";"7,09";"1,18";"-";"7,09";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Quantidade produzida (Toneladas)";"10800";"1200";"-";"6000";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"18000";"12000";"-";"10000";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Valor da produção (Mil Reais)";"9720";"1236";"-";"3317";"-"
"2402600";"Ceará-Mirim (RN)";"2020";"Valor da produção - percentual do total geral";"19,94";"2,54";"-";"6,81";"-"
"2402709";"Cerro Corá (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"8";"8";"-";"1500";"-"
"2402709";"Cerro Corá (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,09";"0,09";"-";"17,11";"-"
"2402709";"Cerro Corá (RN)";"2020";"Área colhida (Hectares)";"8";"8";"-";"1500";"-"
"2402709";"Cerro Corá (RN)";"2020";"Área colhida - percentual do total geral";"0,09";"0,09";"-";"17,11";"-"
"2402709";"Cerro Corá (RN)";"2020";"Quantidade produzida (Toneladas)";"144";"64";"-";"10500";"-"
"2402709";"Cerro Corá (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"18000";"8000";"-";"7000";"-"
"2402709";"Cerro Corá (RN)";"2020";"Valor da produção (Mil Reais)";"472";"102";"-";"2835";"-"
"2402709";"Cerro Corá (RN)";"2020";"Valor da produção - percentual do total geral";"2,03";"0,44";"-";"12,18";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"15";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"1,79";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"15";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"1,79";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"120";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"8000";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"30";"-"
"2402808";"Coronel Ezequiel (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"0,60";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"4";"-";"-";"1";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,60";"-";"-";"0,15";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Área colhida (Hectares)";"4";"-";"-";"1";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Área colhida - percentual do total geral";"0,66";"-";"-";"0,16";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Quantidade produzida (Toneladas)";"90";"-";"-";"7";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"22500";"-";"-";"7000";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Valor da produção (Mil Reais)";"216";"-";"-";"5";"-"
"2402907";"Coronel João Pessoa (RN)";"2020";"Valor da produção - percentual do total geral";"25,59";"-";"-";"0,59";"-"
"2403004";"Cruzeta (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"2";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"3,33";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Área colhida (Hectares)";"-";"2";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Área colhida - percentual do total geral";"-";"3,33";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"18";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"9000";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Valor da produção (Mil Reais)";"-";"27";"-";"-";"-"
"2403004";"Cruzeta (RN)";"2020";"Valor da produção - percentual do total geral";"-";"5,64";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"1";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,37";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Área colhida (Hectares)";"1";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Área colhida - percentual do total geral";"0,37";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Quantidade produzida (Toneladas)";"18";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"18000";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Valor da produção (Mil Reais)";"27";"-";"-";"-";"-"
"2403103";"Currais Novos (RN)";"2020";"Valor da produção - percentual do total geral";"1,84";"-";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"3";"5";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,31";"0,52";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Área colhida (Hectares)";"3";"5";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Área colhida - percentual do total geral";"0,32";"0,53";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Quantidade produzida (Toneladas)";"70";"45";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"23333";"9000";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Valor da produção (Mil Reais)";"88";"59";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"2020";"Valor da produção - percentual do total geral";"4,32";"2,90";"-";"-";"-"
"2403251";"Parnamirim (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"15";"-";"-";"20";"-"
"2403251";"Parnamirim (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"6,52";"-";"-";"8,70";"-"
"2403251";"Parnamirim (RN)";"2020";"Área colhida (Hectares)";"15";"-";"-";"10";"-"
"2403251";"Parnamirim (RN)";"2020";"Área colhida - percentual do total geral";"6,82";"-";"-";"4,55";"-"
"2403251";"Parnamirim (RN)";"2020";"Quantidade produzida (Toneladas)";"483";"-";"-";"110";"-"
"2403251";"Parnamirim (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"32200";"-";"-";"11000";"-"
"2403251";"Parnamirim (RN)";"2020";"Valor da produção (Mil Reais)";"725";"-";"-";"55";"-"
"2403251";"Parnamirim (RN)";"2020";"Valor da produção - percentual do total geral";"41,74";"-";"-";"3,17";"-"
"2403301";"Encanto (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"2";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,50";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Área colhida - percentual do total geral";"0,79";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Quantidade produzida (Toneladas)";"50";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"25000";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Valor da produção (Mil Reais)";"113";"-";"-";"-";"-"
"2403301";"Encanto (RN)";"2020";"Valor da produção - percentual do total geral";"31,30";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2403400";"Equador (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"5";"30";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"2,91";"17,44";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Área colhida (Hectares)";"5";"30";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Área colhida - percentual do total geral";"2,91";"17,44";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Quantidade produzida (Toneladas)";"127";"285";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"25400";"9500";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Valor da produção (Mil Reais)";"165";"428";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"2020";"Valor da produção - percentual do total geral";"13,95";"36,18";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"242";"22";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"41,51";"3,77";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Área colhida (Hectares)";"242";"22";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Área colhida - percentual do total geral";"41,51";"3,77";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Quantidade produzida (Toneladas)";"4653";"242";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"19227";"11000";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Valor da produção (Mil Reais)";"7419";"286";"-";"-";"-"
"2403608";"Extremoz (RN)";"2020";"Valor da produção - percentual do total geral";"88,13";"3,40";"-";"-";"-"
"2403707";"Felipe Guerra (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"10";"7";"-";"-";"5"
"2403707";"Felipe Guerra (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"2,03";"1,42";"-";"-";"1,02"
"2403707";"Felipe Guerra (RN)";"2020";"Área colhida (Hectares)";"10";"7";"-";"-";"5"
"2403707";"Felipe Guerra (RN)";"2020";"Área colhida - percentual do total geral";"2,03";"1,42";"-";"-";"1,02"
"2403707";"Felipe Guerra (RN)";"2020";"Quantidade produzida (Toneladas)";"270";"64";"-";"-";"152"
"2403707";"Felipe Guerra (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"27000";"9143";"-";"-";"30400"
"2403707";"Felipe Guerra (RN)";"2020";"Valor da produção (Mil Reais)";"378";"38";"-";"-";"99"
"2403707";"Felipe Guerra (RN)";"2020";"Valor da produção - percentual do total geral";"11,35";"1,14";"-";"-";"2,97"
"2403756";"Fernando Pedroza (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2403756";"Fernando Pedroza (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2403806";"Florânia (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"7";"-";"150";"-"
"2403806";"Florânia (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"0,45";"-";"9,54";"-"
"2403806";"Florânia (RN)";"2020";"Área colhida (Hectares)";"-";"7";"-";"150";"-"
"2403806";"Florânia (RN)";"2020";"Área colhida - percentual do total geral";"-";"0,45";"-";"9,54";"-"
"2403806";"Florânia (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"56";"-";"1200";"-"
"2403806";"Florânia (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"8000";"-";"8000";"-"
"2403806";"Florânia (RN)";"2020";"Valor da produção (Mil Reais)";"-";"117";"-";"396";"-"
"2403806";"Florânia (RN)";"2020";"Valor da produção - percentual do total geral";"-";"3,06";"-";"10,36";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2403905";"Francisco Dantas (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"6";"-";"2";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"1,22";"-";"0,41";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Área colhida (Hectares)";"-";"6";"-";"2";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Área colhida - percentual do total geral";"-";"1,23";"-";"0,41";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"55";"-";"8";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"9167";"-";"4000";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Valor da produção (Mil Reais)";"-";"65";"-";"3";"-"
"2404002";"Frutuoso Gomes (RN)";"2020";"Valor da produção - percentual do total geral";"-";"10,28";"-";"0,47";"-"
"2404101";"Galinhos (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"130"
"2404101";"Galinhos (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"25,44"
"2404101";"Galinhos (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"130"
"2404101";"Galinhos (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"25,44"
"2404101";"Galinhos (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"3105"
"2404101";"Galinhos (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"23885"
"2404101";"Galinhos (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"2484"
"2404101";"Galinhos (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"58,47"
"2404200";"Goianinha (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"10";"50";"-";"120";"-"
"2404200";"Goianinha (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,15";"0,77";"-";"1,85";"-"
"2404200";"Goianinha (RN)";"2020";"Área colhida (Hectares)";"10";"50";"-";"120";"-"
"2404200";"Goianinha (RN)";"2020";"Área colhida - percentual do total geral";"0,15";"0,77";"-";"1,85";"-"
"2404200";"Goianinha (RN)";"2020";"Quantidade produzida (Toneladas)";"250";"450";"-";"1140";"-"
"2404200";"Goianinha (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"25000";"9000";"-";"9500";"-"
"2404200";"Goianinha (RN)";"2020";"Valor da produção (Mil Reais)";"325";"675";"-";"613";"-"
"2404200";"Goianinha (RN)";"2020";"Valor da produção - percentual do total geral";"0,54";"1,13";"-";"1,02";"-"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"14";"6";"-";"-";"400"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,33";"0,14";"-";"-";"9,37"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Área colhida (Hectares)";"14";"6";"-";"-";"400"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Área colhida - percentual do total geral";"0,33";"0,14";"-";"-";"9,37"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Quantidade produzida (Toneladas)";"364";"50";"-";"-";"12000"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"26000";"8333";"-";"-";"30000"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Valor da produção (Mil Reais)";"328";"35";"-";"-";"8400"
"2404309";"Governador Dix-Sept Rosado (RN)";"2020";"Valor da produção - percentual do total geral";"2,43";"0,26";"-";"-";"62,20"
"2404408";"Grossos (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2404408";"Grossos (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2404507";"Guamaré (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"3";"20";"-";"400";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,13";"0,89";"-";"17,74";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Área colhida (Hectares)";"3";"20";"-";"400";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Área colhida - percentual do total geral";"0,13";"0,89";"-";"17,74";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Quantidade produzida (Toneladas)";"63";"220";"-";"5600";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"21000";"11000";"-";"14000";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Valor da produção (Mil Reais)";"55";"461";"-";"3338";"-"
"2404606";"Ielmo Marinho (RN)";"2020";"Valor da produção - percentual do total geral";"0,14";"1,18";"-";"8,54";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"650";"8";"-";"3";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"32,58";"0,40";"-";"0,15";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Área colhida (Hectares)";"650";"8";"-";"3";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Área colhida - percentual do total geral";"34,01";"0,42";"-";"0,16";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Quantidade produzida (Toneladas)";"2548";"54";"-";"28";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"3920";"6750";"-";"9333";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Valor da produção (Mil Reais)";"1529";"22";"-";"12";"-"
"2404705";"Ipanguaçu (RN)";"2020";"Valor da produção - percentual do total geral";"9,55";"0,14";"-";"0,07";"-"
"2404804";"Ipueira (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"2";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,99";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Área colhida - percentual do total geral";"0,99";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Quantidade produzida (Toneladas)";"34";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"17000";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Valor da produção (Mil Reais)";"84";"-";"-";"-";"-"
"2404804";"Ipueira (RN)";"2020";"Valor da produção - percentual do total geral";"34,15";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2404853";"Itajá (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"3";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,21";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Área colhida (Hectares)";"3";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Área colhida - percentual do total geral";"0,21";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Quantidade produzida (Toneladas)";"89";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"29667";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Valor da produção (Mil Reais)";"85";"-";"-";"-";"-"
"2404903";"Itaú (RN)";"2020";"Valor da produção - percentual do total geral";"2,38";"-";"-";"-";"-"
"2405009";"Jaçanã (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"10";"-"
"2405009";"Jaçanã (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"1,02";"-"
"2405009";"Jaçanã (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"10";"-"
"2405009";"Jaçanã (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"1,02";"-"
"2405009";"Jaçanã (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"93";"-"
"2405009";"Jaçanã (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"9300";"-"
"2405009";"Jaçanã (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"33";"-"
"2405009";"Jaçanã (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"0,68";"-"
"2405108";"Jandaíra (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"60";"-";"-";"-";"100"
"2405108";"Jandaíra (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"7,41";"-";"-";"-";"12,35"
"2405108";"Jandaíra (RN)";"2020";"Área colhida (Hectares)";"60";"-";"-";"-";"100"
"2405108";"Jandaíra (RN)";"2020";"Área colhida - percentual do total geral";"7,41";"-";"-";"-";"12,35"
"2405108";"Jandaíra (RN)";"2020";"Quantidade produzida (Toneladas)";"2220";"-";"-";"-";"2203"
"2405108";"Jandaíra (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"37000";"-";"-";"-";"22030"
"2405108";"Jandaíra (RN)";"2020";"Valor da produção (Mil Reais)";"1332";"-";"-";"-";"1762"
"2405108";"Jandaíra (RN)";"2020";"Valor da produção - percentual do total geral";"27,47";"-";"-";"-";"36,34"
"2405207";"Janduís (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2405207";"Janduís (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2405207";"Janduís (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2405207";"Janduís (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2405207";"Janduís (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
